Bootstrap parameter summary (Version 5 Unique)
============================================================
psi_mean: 0.5600017650944118
psi_std: 0.022277691982034883
beta_mean: -0.002155527431936159
beta_std: 0.015285310580736806
x0_mean: 55.716373464122896
x0_std: 0.7035895879153559
loss_mean: 20467.907159567003
loss_std: 377.79264928953376
n_runs: 20

Individual runs (psi, beta, x0, loss):
0.54708876, 0.01005651, 55.540643, 19978.1409
0.57140065, 0.00020249, 56.422085, 20423.7184
0.59336692, -0.03528630, 55.850459, 20353.4064
0.59325554, -0.02665161, 56.880854, 20886.8441
0.61482663, -0.03606024, 57.742641, 20741.9009
0.54374019, 0.00794980, 55.542779, 20580.5344
0.56173664, -0.01094335, 55.642908, 20681.6009
0.54288259, 0.01137874, 55.574227, 21130.3800
0.54323624, 0.00549113, 55.311051, 20217.1519
0.55684887, 0.00220408, 56.001009, 19887.9251
0.53120246, 0.00379444, 54.995968, 20616.7304
0.55092208, 0.00714953, 55.239257, 20659.1115
0.53967672, 0.01308292, 55.073662, 20279.8818
0.59953140, -0.01936488, 56.074485, 20218.7683
0.56455691, -0.01163778, 56.159763, 20399.3544
0.54440402, 0.01170637, 54.867739, 20607.8580
0.54805032, 0.00146968, 54.620180, 20595.3900
0.54820046, 0.00692390, 55.884701, 19861.7902
0.55052254, 0.00569345, 55.541195, 19969.6156
0.55458537, 0.00973058, 55.361862, 21268.0400
